StationUID,StationID,AuthorityID,BikesCapacity,ServiceType,SrcUpdateTime,UpdateTime,sna,StationName_En,longitude,latitude,GeoHash,StationAddress_Zh_tw,StationAddress_En
TPE500101143,500101143,TPE,16,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_昌隆公園,YouBike2.0_Changlong Park,121.53946,25.04448,wsqqmxnqd,市民大道三段206號西側,"No. 206, Sec. 3, Civic Blvd. (West)"
TPE500101144,500101144,TPE,69,2,2025-05-27T10:45:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運大安森林公園站(2號出口),YouBike2.0_MRT Daan Park Sta. (Exit 2),121.53435,25.03332,wsqqmt4te,捷運大安森林公園站(2號出口)西側,MRT Daan Park Sta. (Exit 2) (West)
TPE500101145,500101145,TPE,15,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_信義延吉街口,"YouBike2.0_Sec. 4,Xinyi Rd & Yanji St Intersection",121.55725,25.03318,wsqqqj5kc,信義路四段353號,"No. 353, Sec. 4, Xinyi Rd."
TPE500101146,500101146,TPE,25,2,2025-05-27T10:38:15+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_光信公園(光復南路456巷),"YouBike2.0_Guangxin Park (Ln. 456, Guangfu S. Rd)",121.5561,25.03513,wsqqqjd2n,延吉街249號,"No. 249, Yanji St."
TPE500101147,500101147,TPE,20,2,2025-05-27T10:29:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_僑安地下停車場(2號出口)東南側,YouBike2.0_Qiao An Dixia Parking (Exit 2) (Southeast),121.5569,25.0391,wsqqqn5p3,光復南路290巷5號,"No. 5, Ln. 290, Guangfu S. Rd"
TPE500101148,500101148,TPE,32,2,2025-05-27T10:45:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_建國南路一段279巷口,"YouBike2.0_Ln. 279, Sec. 1, Jianguo S. Rd Intersection",121.53833,25.03635,wsqqmttx2,建國南路一段275號,"No. 275, Sec. 1, Jianguo S. Rd."
TPE500101149,500101149,TPE,15,2,2025-05-27T10:46:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運忠孝新生站(6號出口),YouBike2.0_MRT Zhongxiao Xinsheng Sta. (Exit 6),121.53295,25.04091,wsqqmw99f,新生南路一段101號,"No. 101, Sec. 1, Xinsheng S. Rd."
TPE500101150,500101150,TPE,46,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運忠孝新生站(4號出口),YouBike2.0_MRT Zhongxiao Xinsheng Sta. (Exit 4),121.53324,25.04239,wsqqmwcf3,忠孝新生路口北側,Zhongxiao & Xinsheng S. Rd Intersection. (North)
TPE500101151,500101151,TPE,23,2,2025-05-27T10:43:15+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_大安高工,YouBike2.0_Daan Vocational High School,121.54339,25.03126,wsqqmuc1w,復興南路二段52號(前),"No. 52, Sec. 2, Fuxing S. Rd."
TPE500101152,500101152,TPE,43,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運忠孝新生站(3號出口),YouBike2.0_MRT Zhongxiao Xinsheng Sta. (Exit 3),121.53376,25.04189,wsqqmwdpt,忠孝東路三段與10巷口,"Sec. 3, Zhongxiao E. Rd & Ln. 10, Sec. 3, Zhongxiao E. Rd Intersection"
TPE500101153,500101153,TPE,20,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_瑠公公園,YouBike2.0_Liugong Park,121.54612,25.04201,wsqqmyg0m,忠孝東路四段49巷4弄/大安路口,"Aly. 4, Ln. 49, Sec. 4, Zhongxiao E. Rd./Da'an Rd. Intersection"
TPE500101154,500101154,TPE,23,2,2025-05-27T10:42:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_敦化市民路口,YouBike2.0_Dunhua S. Rd. & Civic Blvd. Intersection,121.5486,25.04405,wsqqmzhup,敦化南路1段158號(前),"No. 158, Sec. 1, Dunhua S. Rd."
TPE500101155,500101155,TPE,15,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運大安森林公園站(5號出口),YouBike2.0_MRT Daan Park Sta. (Exit 5),121.5364,25.03336,wsqqmthjg,捷運大安森林公園站(5號出口)東側,MRT Daan Park Sta. (Exit 5) (East)
TPE500101156,500101156,TPE,52,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_信義建國路口,YouBike2.0_Xinyi Rd. & Jianguo Rd. Intersection,121.53746,25.0328,wsqqmthfs,建國南路二段與信義路三段口西南側,"Sec. 2, Jianguo S Rd. & Sec. 3, Xinyi Rd. Intersection (Southwest)"
TPE500101157,500101157,TPE,19,2,2025-05-27T10:35:16+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_東豐公園,YouBike2.0_Dongfeng Park,121.5451,25.03569,wsqqmvd7q,東豐街24號(旁公園路側),"No. 24, Dongfeng St."
TPE500101158,500101158,TPE,22,2,2025-05-27T10:31:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_德安公園(四維路66巷),YouBike2.0_Dean Park,121.54767,25.03473,wsqqmvkmc,四維路66巷6號北側,"No. 6, Ln. 66, Siwei Rd."
TPE500101159,500101159,TPE,30,2,2025-05-27T10:46:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運忠孝復興站(5號出口),YouBike2.0_MRT Zhongxiao Fuxing Sta (Exit 5),121.54407,25.04253,wsqqmyceq,復興南路一段135巷口,"No. 3, Ln. 135, Sec. 1, Fuxing S. Rd. (Opposite)"
TPE500101160,500101160,TPE,17,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運忠孝敦化站(2號出口),YouBike2.0_MRT Zhongxiao Dunhua Sta. (Exit 2),121.5524,25.04153,wsqqmyxv2,忠孝東路四段221號,"No. 221, Sec. 4, Zhongxiao E. Rd."
TPE500101161,500101161,TPE,18,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運忠孝敦化站(7號出口),YouBike2.0_MRT Zhongxiao Dunhua Sta. (Exit 7),121.54937,25.04159,wsqqmyttc,忠孝東路四段143號,"No. 143, Sec. 4, Zhongxiao E. Rd."
